588,0.715833,0.715833,0.238813,1065,4721
362,0.29913,0.503913,0.293961,255,2047
665,0.545833,0.807083,0.132467,1182,6262
532,0.639167,0.589583,0.176617,1563,6102
655,0.468333,0.558333,0.182221,922,6612
535,0.568333,0.777917,0.174746,653,4446
480,0.413333,0.454167,0.249383,518,5115
729,0.253333,0.752917,0.124383,159,1182
49,0.521667,0.516667,0.264925,579,2348
686,0.345,0.524583,0.171025,484,5214
361,0.325,0.7625,0.18845,103,1059
369,0.1075,0.414583,0.1847,95,2273
647,0.383333,0.709583,0.189679,874,4604
107,0.456667,0.479583,0.303496,1558,2186
671,0.365833,0.581667,0.157346,466,5520
424,0.359167,0.395833,0.193417,229,4134
195,0.680833,0.47625,0.240667,888,4196
528,0.720833,0.587917,0.207713,1017,5647
113,0.46,0.887917,0.230725,1462,2574
616,0.703333,0.73625,0.171646,1045,6459
478,0.396667,0.835417,0.344546,120,907
328,0.373333,0.549167,0.167304,560,935
559,0.715833,0.529583,0.146775,1032,6414
37,0.285833,0.568333,0.1418,354,1269
26,0.2175,0.8625,0.29385,34,472
212,0.805833,0.480833,0.164813,1524,2778
676,0.280833,0.567083,0.173513,466,5220
84,0.264167,0.495,0.230725,300,1910
498,0.564167,0.480417,0.123133,2622,4807
603,0.661667,0.712917,0.244408,1829,4224
145,0.660833,0.69625,0.154233,740,4238
627,0.623333,0.8725,0.357587,371,3702
16,0.231667,0.48375,0.188433,251,953
472,0.664167,0.561667,0.284829,1198,5172
18,0.216667,0.861667,0.146775,9,674
533,0.631667,0.504167,0.166667,2963,4739
258,0.5775,0.709167,0.271146,428,3231
166,0.626667,0.471667,0.167912,769,4411
706,0.255833,0.50875,0.174754,340,5035
304,0.34,0.703333,0.10635,362,3307
428,0.414167,0.62125,0.161079,956,3110
683,0.343333,0.662917,0.342046,327,3767
371,0.334167,0.542083,0.167908,307,3791
263,0.561667,0.88125,0.134954,438,3203
257,0.673333,0.697083,0.1673,647,4138
405,0.265,0.562083,0.194037,163,3667
719,0.3325,0.625417,0.184092,333,4934
292,0.541739,0.895217,0.243339,254,2170
320,0.456667,0.93,0.136829,145,1672
510,0.655,0.716667,0.172896,1059,5711
51,0.285217,0.407826,0.223235,639,1173
4,0.2,0.590435,0.160296,108,1454
178,0.6825,0.658333,0.107588,854,3854
364,0.311667,0.636667,0.134337,491,2508
558,0.716667,0.633333,0.151733,975,6289
681,0.420833,0.659167,0.1275,2290,4562
309,0.326667,0.519167,0.189062,1156,2770
432,0.404167,0.513333,0.345779,432,4484
646,0.415833,0.708333,0.141162,781,2729
663,0.5875,0.63625,0.0727792,795,6898
241,0.636667,0.554583,0.159825,729,3905
383,0.303333,0.443333,0.415429,109,3267
44,0.316522,0.457391,0.260883,397,1192
99,0.3425,0.8775,0.133083,879,1576
222,0.766667,0.424167,0.200258,884,3896
541,0.743333,0.479167,0.145525,2551,4340
582,0.793333,0.613333,0.257458,2345,4479
390,0.294167,0.64375,0.161071,467,3803
225,0.685833,0.729583,0.211454,1504,2646
485,0.458333,0.587083,0.116908,2229,4075
252,0.65,0.897917,0.124379,417,3127
718,0.410833,0.66625,0.221404,433,5124
415,0.28,0.515833,0.253112,618,2071
38,0.271667,0.738333,0.0454083,120,1592
379,0.18,0.4575,0.187183,333,2160
701,0.298333,0.806667,0.0597042,951,4240
703,0.4525,0.7675,0.0827208,555,5679
161,0.755,0.605,0.140554,815,3771
179,0.744167,0.634167,0.144283,732,3916
10,0.150833,0.482917,0.223267,41,1280
584,0.7525,0.654167,0.129354,1233,5780
607,0.685,0.552083,0.112562,1177,6520
14,0.16087,0.537826,0.126548,54,1367
421,0.290833,0.395833,0.421642,317,2415
260,0.491667,0.718333,0.189675,1434,3077
17,0.175833,0.5375,0.194017,117,883
727,0.254167,0.652917,0.350133,247,1867
563,0.763333,0.645,0.164187,1088,5742
439,0.5725,0.507083,0.115062,997,5315
315,0.324167,0.44625,0.314675,440,2928
207,0.771667,0.540833,0.200258,750,3840
357,0.373333,0.68625,0.274246,163,2046
338,0.330833,0.775833,0.0839583,634,2851
434,0.410833,0.407083,0.4148,447,4122
503,0.593333,0.52,0.229475,1242,6142
537,0.7825,0.592083,0.113812,872,5339
318,0.53,0.587083,0.306596,595,3891
112,0.336667,0.729583,0.219521,177,1506
5,0.226957,0.436957,0.1869,82,1518
87,0.264348,0.302174,0.212204,222,1806
491,0.621667,0.756667,0.152992,2496,4387
331,0.459167,0.698333,0.208954,810,2261
117,0.62,0.835417,0.3122,547,3325
31,0.180833,0.60375,0.187192,42,1459
471,0.606667,0.507917,0.225129,2846,4286
198,0.719167,0.604167,0.245033,2006,3296
39,0.220833,0.537917,0.36195,64,1466
122,0.549167,0.73,0.183454,847,3554
239,0.68,0.85,0.375617,226,889
267,0.606667,0.8625,0.0783833,1776,3647
116,0.631667,0.729167,0.3265,678,3722
132,0.535,0.7475,0.189667,695,4169
568,0.595833,0.865417,0.2133,1264,3195
236,0.673333,0.605,0.253108,949,4181
186,0.746667,0.590417,0.126258,1031,3634
53,0.182222,0.577778,0.195683,74,1376
72,0.384348,0.527391,0.270604,982,1435
593,0.706667,0.619583,0.169771,1198,6149
129,0.5325,0.58875,0.176,664,3698
115,0.606667,0.776667,0.185333,773,3300
88,0.3025,0.314167,0.226996,317,2108
281,0.521667,0.70125,0.0454042,2235,3174
89,0.3,0.646667,0.172888,168,1368
367,0.273043,0.381304,0.329665,244,1707
213,0.771667,0.550833,0.156717,729,3537
